date,cv_role,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_target,target_level
2017-08-28,always train (rows 1-551),1.007124,-0.254708,-0.227083,0.013733,0.080397,0.553130,-0.501119,0.045547,-0.325862,-0.315621,0.048707,2444.239990
2017-08-29,always train (rows 1-551),0.891789,0.820986,0.818534,0.302037,0.849877,0.484333,-0.044769,0.356768,-0.026170,-0.545833,0.084282,2446.300049
2017-08-30,always train (rows 1-551),0.270142,0.842120,0.898762,1.314215,1.418155,1.112778,0.968543,-0.862280,-0.457791,0.230525,0.461515,2457.590088
2017-08-31,always train (rows 1-551),0.397869,1.230354,1.049931,1.026881,1.344572,1.206438,0.449125,0.991841,0.302220,-0.459978,0.572098,2471.649902
2017-09-01,always train (rows 1-551),0.030515,-0.340246,-0.211840,-1.110070,-0.239650,0.029081,-0.237364,-1.012314,0.314440,0.891167,0.198254,2476.550049
2017-09-05,always train (rows 1-551),-1.200865,-1.103994,-0.948431,-0.446339,-1.326856,-0.755734,-2.074918,0.796634,-0.862395,-2.388186,-0.755081,2457.850098
2017-09-06,always train (rows 1-551),-0.104856,0.057380,-0.068941,-0.285250,0.262101,0.802486,-0.107358,2.073090,0.592781,0.670298,0.312873,2465.540039
2017-09-07,always train (rows 1-551),-0.401499,0.835436,0.877339,1.280629,1.205827,0.650828,-1.583793,0.317348,1.163217,-1.753428,-0.017844,2465.100098
2017-09-08,always train (rows 1-551),-1.630898,-0.892748,-1.009662,-0.484216,-1.385445,-1.304783,0.867863,-0.265715,-0.915359,-0.124249,-0.148885,2461.429932
2017-09-11,always train (rows 1-551),1.809249,0.199698,0.278457,1.054322,1.248578,1.497535,1.350425,0.545526,1.702553,1.549442,1.083930,2488.110107
2017-09-12,always train (rows 1-551),-0.396276,0.356200,0.321817,-0.107039,0.472418,-0.317011,0.427284,0.315452,-0.435389,1.225077,0.336395,2496.479980
2017-09-13,always train (rows 1-551),-0.752224,0.400359,0.324024,0.709711,1.732170,0.052036,0.162343,0.339639,-0.135757,0.286042,0.075712,2498.370117
